building_id,cluster,damage_numeric,damage_grade
231107000661,0,5.0,Grade 5
231107000671,0,5.0,Grade 5
231107000681,0,5.0,Grade 5
231107000682,0,5.0,Grade 5
231107000691,0,5.0,Grade 5
231107000701,0,5.0,Grade 5
231107000711,0,5.0,Grade 5
231107000721,0,5.0,Grade 5
231107000731,0,5.0,Grade 5
231107000741,0,5.0,Grade 5
231107000751,0,5.0,Grade 5
231107000752,0,5.0,Grade 5
231107000761,0,5.0,Grade 5
231107000771,0,5.0,Grade 5
231107000772,0,5.0,Grade 5
231107000781,0,5.0,Grade 5
231107000791,0,5.0,Grade 5
231107000792,0,5.0,Grade 5
231107000801,0,5.0,Grade 5
231107000811,0,5.0,Grade 5
231107000821,0,5.0,Grade 5
231107000831,0,5.0,Grade 5
231107000841,0,5.0,Grade 5
231107000842,0,5.0,Grade 5
231107000851,0,5.0,Grade 5
231107000861,0,5.0,Grade 5
231107000871,0,5.0,Grade 5
231107000881,0,5.0,Grade 5
231107000891,0,5.0,Grade 5
231107000901,0,5.0,Grade 5
231107000911,0,5.0,Grade 5
231107000921,0,5.0,Grade 5
231107000931,0,5.0,Grade 5
231107000941,0,1.0,Grade 1
231107000951,0,5.0,Grade 5
231107000961,0,5.0,Grade 5
231107000971,0,1.0,Grade 1
231107000981,0,4.0,Grade 4
231108000011,0,5.0,Grade 5
231108000021,0,5.0,Grade 5
231108000022,0,5.0,Grade 5
231108000031,0,5.0,Grade 5
231108000041,0,5.0,Grade 5
231108000051,0,5.0,Grade 5
231108000061,0,5.0,Grade 5
231108000071,0,5.0,Grade 5
231108000081,0,5.0,Grade 5
231108000082,0,5.0,Grade 5
231108000091,0,5.0,Grade 5
231108000092,0,5.0,Grade 5
231108000101,0,5.0,Grade 5
231108000111,0,5.0,Grade 5
231108000121,0,5.0,Grade 5
231108000122,0,5.0,Grade 5
231108000131,0,5.0,Grade 5
231108000141,0,5.0,Grade 5
231108000151,0,5.0,Grade 5
231108000152,0,5.0,Grade 5
231108000161,0,5.0,Grade 5
231108000162,0,5.0,Grade 5
231108000171,0,5.0,Grade 5
231108000172,0,5.0,Grade 5
231108000181,0,5.0,Grade 5
231108000191,0,5.0,Grade 5
231108000192,0,5.0,Grade 5
231108000201,0,5.0,Grade 5
231108000202,0,5.0,Grade 5
231108000211,0,5.0,Grade 5
231108000221,0,5.0,Grade 5
231108000231,0,5.0,Grade 5
231108000232,0,5.0,Grade 5
231108000241,0,5.0,Grade 5
231108000251,0,5.0,Grade 5
231108000261,0,5.0,Grade 5
231108000271,0,5.0,Grade 5
231108000281,0,5.0,Grade 5
231108000282,0,5.0,Grade 5
231108000291,0,5.0,Grade 5
231108000301,0,5.0,Grade 5
231108000311,0,5.0,Grade 5
231108000321,0,5.0,Grade 5
231108000331,0,4.0,Grade 4
231108000341,0,5.0,Grade 5
231108000351,0,5.0,Grade 5
231108000361,0,5.0,Grade 5
231108000371,0,5.0,Grade 5
231108000372,0,5.0,Grade 5
231108000373,0,5.0,Grade 5
231108000374,0,5.0,Grade 5
231108000381,0,5.0,Grade 5
231108000391,0,5.0,Grade 5
231108000401,0,5.0,Grade 5
231108000411,0,5.0,Grade 5
231108000421,0,5.0,Grade 5
231108000422,0,5.0,Grade 5
231108000431,0,5.0,Grade 5
231108000432,0,5.0,Grade 5
231108000441,0,5.0,Grade 5
231108000451,0,5.0,Grade 5
231108000461,0,5.0,Grade 5
231108000462,0,5.0,Grade 5
231108000471,0,5.0,Grade 5
231108000472,0,5.0,Grade 5
231108000481,0,5.0,Grade 5
231108000491,0,5.0,Grade 5
231108000501,0,5.0,Grade 5
231108000511,0,5.0,Grade 5
231108000521,0,5.0,Grade 5
231108000531,0,5.0,Grade 5
231108000541,0,5.0,Grade 5
231108000542,0,5.0,Grade 5
231108000551,0,5.0,Grade 5
231108000552,0,5.0,Grade 5
231108000561,0,5.0,Grade 5
231108000562,0,5.0,Grade 5
231108000571,0,5.0,Grade 5
231108000581,0,5.0,Grade 5
231108000582,0,5.0,Grade 5
231108000591,0,5.0,Grade 5
231108000601,0,5.0,Grade 5
231108000611,0,5.0,Grade 5
231108000621,0,5.0,Grade 5
231108000631,0,5.0,Grade 5
231108000632,0,5.0,Grade 5
231108000641,0,1.0,Grade 1
231108000651,0,5.0,Grade 5
231108000661,0,5.0,Grade 5
231108000671,0,5.0,Grade 5
231108000681,0,5.0,Grade 5
231108000691,0,5.0,Grade 5
231108000701,0,5.0,Grade 5
231109000011,0,5.0,Grade 5
231109000021,0,5.0,Grade 5
231109000022,0,4.0,Grade 4
231109000031,0,5.0,Grade 5
231109000041,0,5.0,Grade 5
231109000051,0,5.0,Grade 5
231109000061,0,5.0,Grade 5
231109000071,0,5.0,Grade 5
231109000081,0,5.0,Grade 5
231109000091,0,5.0,Grade 5
231109000101,0,5.0,Grade 5
231109000111,0,5.0,Grade 5
231109000121,0,5.0,Grade 5
231109000131,0,4.0,Grade 4
231109000141,0,5.0,Grade 5
231109000151,0,5.0,Grade 5
231109000161,0,5.0,Grade 5
231109000171,0,5.0,Grade 5
231109000181,0,5.0,Grade 5
231109000191,0,5.0,Grade 5
231109000201,0,5.0,Grade 5
231109000211,0,5.0,Grade 5
231109000221,0,5.0,Grade 5
231109000231,0,5.0,Grade 5
231109000241,0,5.0,Grade 5
231109000251,0,5.0,Grade 5
231109000252,0,5.0,Grade 5
231109000261,0,5.0,Grade 5
231109000271,0,5.0,Grade 5
231109000281,0,5.0,Grade 5
231109000291,0,5.0,Grade 5
231109000301,0,5.0,Grade 5
231109000302,0,5.0,Grade 5
231109000303,0,5.0,Grade 5
231109000311,0,5.0,Grade 5
231109000321,0,5.0,Grade 5
231109000331,0,5.0,Grade 5
231109000341,0,5.0,Grade 5
231109000351,0,5.0,Grade 5
231109000361,0,5.0,Grade 5
231109000371,0,5.0,Grade 5
231109000381,0,1.0,Grade 1
231109000391,0,5.0,Grade 5
231109000401,0,5.0,Grade 5
231109000411,0,5.0,Grade 5
231109000421,0,5.0,Grade 5
231109000431,0,5.0,Grade 5
231109000441,0,5.0,Grade 5
231109000451,0,5.0,Grade 5
231109000461,0,5.0,Grade 5
231109000462,0,5.0,Grade 5
231109000471,0,5.0,Grade 5
231109000481,0,5.0,Grade 5
231109000491,0,5.0,Grade 5
231109000501,0,5.0,Grade 5
231109000511,0,5.0,Grade 5
231109000521,0,5.0,Grade 5
231109000531,0,5.0,Grade 5
231109000541,0,5.0,Grade 5
231109000551,0,5.0,Grade 5
231109000561,0,5.0,Grade 5
231109000562,0,5.0,Grade 5
231109000571,0,5.0,Grade 5
231109000581,0,5.0,Grade 5
231109000591,0,5.0,Grade 5
231109000601,0,5.0,Grade 5
231109000611,0,5.0,Grade 5
231109000612,0,5.0,Grade 5
231109000621,0,5.0,Grade 5
231109000631,0,5.0,Grade 5
231109000641,0,5.0,Grade 5
231109000651,0,5.0,Grade 5
231109000661,0,5.0,Grade 5
231109000662,0,5.0,Grade 5
231109000671,0,5.0,Grade 5
231109000672,0,5.0,Grade 5
231109000681,0,5.0,Grade 5
231109000691,0,5.0,Grade 5
231109000701,0,5.0,Grade 5
231109000711,0,5.0,Grade 5
231109000721,0,5.0,Grade 5
231109000731,0,5.0,Grade 5
231109000741,0,5.0,Grade 5
231109000742,0,5.0,Grade 5
231109000751,0,5.0,Grade 5
231109000761,0,5.0,Grade 5
231109000771,0,5.0,Grade 5
231109000781,0,5.0,Grade 5
231109000791,0,5.0,Grade 5
231109000801,0,5.0,Grade 5
231109000811,0,1.0,Grade 1
231109000821,0,5.0,Grade 5
231109000831,0,5.0,Grade 5
231109000832,0,5.0,Grade 5
231109000841,0,5.0,Grade 5
231109000851,0,1.0,Grade 1
231109000861,0,5.0,Grade 5
231109000871,0,5.0,Grade 5
231109000881,0,5.0,Grade 5
231109000882,0,5.0,Grade 5
231109000883,0,5.0,Grade 5
231109000891,0,5.0,Grade 5
231109000892,0,5.0,Grade 5
231109000901,0,5.0,Grade 5
231109000902,0,5.0,Grade 5
231109000911,0,5.0,Grade 5
231109000921,0,5.0,Grade 5
231109000931,0,5.0,Grade 5
231109000941,0,5.0,Grade 5
231109000951,0,5.0,Grade 5
231109000952,0,5.0,Grade 5
231109000961,0,5.0,Grade 5
231109000962,0,5.0,Grade 5
231109000971,0,5.0,Grade 5
231109000972,0,5.0,Grade 5
231109000981,0,5.0,Grade 5
231109000991,0,5.0,Grade 5
231109001001,0,5.0,Grade 5
231109001011,0,5.0,Grade 5
231109001021,0,5.0,Grade 5
231109001022,0,5.0,Grade 5
231109001031,0,5.0,Grade 5
231109001041,0,5.0,Grade 5
231109001051,0,5.0,Grade 5
231109001061,0,1.0,Grade 1
231109001071,0,5.0,Grade 5
231109001081,0,5.0,Grade 5
231109001082,0,5.0,Grade 5
231109001091,0,5.0,Grade 5
231109001092,0,5.0,Grade 5
231109001101,0,5.0,Grade 5
231109001111,0,5.0,Grade 5
231109001121,0,5.0,Grade 5
231109001131,0,5.0,Grade 5
231109001141,0,5.0,Grade 5
231109001151,0,5.0,Grade 5
231109001161,0,5.0,Grade 5
231109001171,0,5.0,Grade 5
231109001181,0,5.0,Grade 5
231109001191,0,5.0,Grade 5
231109001201,0,5.0,Grade 5
231109001211,0,5.0,Grade 5
231109001221,0,5.0,Grade 5
231109001222,0,5.0,Grade 5
231109001231,0,5.0,Grade 5
231109001232,0,5.0,Grade 5
231109001241,0,5.0,Grade 5
231109001242,0,5.0,Grade 5
231109001251,0,5.0,Grade 5
231109001261,0,5.0,Grade 5
231109001271,0,5.0,Grade 5
231109001281,0,4.0,Grade 4
231109001291,0,4.0,Grade 4
231109001301,0,5.0,Grade 5
231109001311,0,5.0,Grade 5
231109001312,0,5.0,Grade 5
231109001321,0,5.0,Grade 5
231109001322,0,5.0,Grade 5
231109001331,0,5.0,Grade 5
231109001341,0,5.0,Grade 5
231109001351,0,5.0,Grade 5
231109001352,0,5.0,Grade 5
231109001353,0,5.0,Grade 5
231109001361,0,5.0,Grade 5
231109001371,0,5.0,Grade 5
231109001381,0,5.0,Grade 5
231109001382,0,5.0,Grade 5
231109001391,0,5.0,Grade 5
231109001401,0,5.0,Grade 5
231109001631,0,5.0,Grade 5
231109001411,0,4.0,Grade 4
231109001421,0,5.0,Grade 5
231109001431,0,4.0,Grade 4
231109001441,0,4.0,Grade 4
231109001451,0,5.0,Grade 5
