building_id,damage_numeric,predicted_severity
286102001351,5.0,4.987913556129212
286102001371,2.0,1.7965281134056525
286102001421,4.0,3.559033194489958
286102001471,5.0,4.987913556129212
286102001591,5.0,4.987913556129212
286102001641,5.0,4.987913556129212
286102001661,5.0,4.987913556129212
286102001671,5.0,4.987913556129212
286102001711,5.0,4.987913556129212
286102001771,5.0,4.987913556129212
286102001831,5.0,4.987913556129212
286102001881,5.0,4.987913556129212
286102001891,5.0,4.987913556129212
286102001921,5.0,4.987913556129212
286102001931,5.0,4.987913556129212
286102002081,5.0,4.987913556129212
286102002101,4.0,2.054250061335844
286103000031,5.0,4.987913556129212
286103000041,5.0,4.987913556129212
286103000061,5.0,4.987913556129212
286103000101,5.0,4.987913556129212
286103000211,4.0,3.5998253822918964
286103000301,5.0,4.987913556129212
286103000341,4.0,3.4672080290118084
286103000361,4.0,3.59026142429328
286103000381,5.0,4.987913556129212
286103000421,4.0,3.45045200956577
286103000431,4.0,3.317348354660972
286103000531,4.0,3.45045200956577
286103000551,4.0,3.5998253822918964
286103000661,4.0,3.5998253822918964
286103000701,3.0,2.9865398785940416
286103000711,1.0,1.9014314319312444
286103000771,3.0,3.438557416676664
286103000781,4.0,3.59026142429328
286103000791,5.0,4.987913556129212
286103000821,4.0,3.5998253822918964
286103000851,4.0,3.5998253822918964
286103000881,1.0,1.9551096139110808
286103000971,4.0,3.45045200956577
286103000981,4.0,3.5998253822918964
286103001081,5.0,4.987913556129212
286103001121,4.0,3.5998253822918964
286103001131,5.0,4.987913556129212
286103001161,4.0,3.285709970330308
286103001181,5.0,4.987913556129212
286103001241,3.0,3.45045200956577
286103001321,5.0,4.987913556129212
286103001361,4.0,3.5998253822918964
286103001391,5.0,4.987913556129212
286103001401,4.0,3.5998253822918964
286103001471,5.0,4.987913556129212
286103001561,5.0,4.987913556129212
286103001571,5.0,4.987913556129212
286103001581,5.0,4.987913556129212
286103001681,5.0,4.987913556129212
286103001691,4.0,3.5998253822918964
286103001702,2.0,3.4345918771752277
286103001751,5.0,4.987913556129212
286103001811,5.0,4.987913556129212
286103001831,5.0,4.987913556129212
286103002061,5.0,4.987913556129212
286103002091,5.0,4.987913556129212
286103002171,5.0,4.987913556129212
286103002181,5.0,4.987913556129212
286103002341,5.0,4.987913556129212
286103002371,4.0,3.5998253822918964
286103002391,5.0,4.987913556129212
286103002431,4.0,3.45045200956577
286103002471,5.0,4.987913556129212
286103002501,5.0,4.987913556129212
286103002541,5.0,4.987913556129212
286103002601,5.0,4.987913556129212
286103002621,5.0,4.987913556129212
286103002641,5.0,4.987913556129212
286103002651,5.0,4.987913556129212
286103002691,5.0,4.987913556129212
286103002701,5.0,4.987913556129212
286104000021,5.0,4.987913556129212
286104000061,4.0,3.4672080290118084
286104000081,4.0,3.6207535250195026
286104000211,4.0,3.559033194489958
